R1,L1,R2,L2,R3,L3,R4,L4,R5,L5,R6,L6,Status
92,89.24,32,31.36,73,70.81,17,17,19,18.43,39,39,Normal
38,40.28,56,57.12,18,17.64,71,50.41,9,14.58,28,42.56,Risk
2,1,82,136.12,54,58.86,53,55.65,83,78.02,65,68.25,Abnormal
77,18.48,54,50.22,2,0.96,54,102.06,45,69.3,40,44,Risk
7,7.07,62,62,20,18.4,8,8.4,79,116.13,22,19.8,Risk
4,4.28,48,47.52,55,104.5,11,10.56,70,73.5,82,37.72,Risk
88,86.24,37,25.53,55,17.05,38,46.74,67,67,79,79,Risk
17,17.51,14,15.12,44,47.96,54,52.38,66,64.68,76,76.76,Abnormal
57,57,31,30.38,90,90.9,93,101.37,13,0.91,40,71.6,Risk
56,73.36,46,59.8,10,6.3,2,3.86,9,15.66,44,18.48,Risk
33,33,57,61.56,28,43.12,51,51,1,0.99,83,115.37,Risk
57,80.37,16,8.8,23,16.56,23,26.91,6,6.54,88,135.52,Risk
61,95.77,48,48.96,51,73.44,61,37.82,68,2.04,46,77.74,Risk
49,82.32,67,79.06,41,44.28,62,63.24,51,51,60,109.8,Abnormal
79,102.7,72,68.4,82,84.46,94,99.64,51,51,58,59.74,Abnormal
2,2.04,36,36.36,22,27.28,95,95.95,38,34.2,54,58.32,Risk
70,81.2,76,69.16,92,88.32,39,75.27,93,90.21,41,14.76,Risk
85,161.5,49,97.51,12,12.48,96,93.12,35,47.6,61,112.85,Risk
60,101.4,22,20.24,48,44.16,4,4.12,93,94.86,54,84.24,Abnormal
34,32.64,80,84.8,2,1.96,39,32.76,58,55.1,21,19.74,Risk
43,42.14,7,7.91,13,4.03,38,41.42,83,89.64,88,88.88,Risk
93,108.81,11,11.99,86,78.26,84,83.16,78,13.26,52,55.12,Risk
78,76.44,25,26,13,11.83,21,21.84,61,65.27,19,11.59,Abnormal
25,21,72,70.56,85,80.75,53,9.01,90,26.1,76,69.16,Risk
31,29.45,3,2.91,4,5.08,22,22,30,29.4,56,56.56,Risk
40,40,58,20.3,53,39.75,18,19.44,85,90.95,13,13.26,Risk
49,50.96,33,33.99,63,61.11,68,61.2,39,8.97,20,19,Risk
57,55.86,86,43.86,75,85.5,65,81.25,29,55.1,59,84.96,Risk
25,27.5,50,4,70,45.5,26,7.02,53,53.53,33,19.8,Risk
74,74,63,62.37,89,41.83,59,32.45,49,49,40,39.6,Risk
64,64,96,96,34,34.68,61,17.08,44,47.08,43,41.28,Risk
22,22.44,27,39.15,74,76.22,13,13.39,90,169.2,43,9.89,Risk
68,10.88,9,9.09,10,10.6,68,61.2,58,59.74,17,16.83,Abnormal
4,3.92,48,46.08,4,4.36,54,81,27,29.7,3,2.7,Risk
44,43.56,58,56.26,95,133.95,86,86,80,79.2,59,53.69,Risk
67,103.85,51,29.58,82,116.44,27,29.43,2,1.8,18,16.92,Risk
40,40,58,52.2,80,80,23,23.69,4,4.08,3,3.03,Normal
6,5.88,14,14.7,86,85.14,14,2.52,59,64.9,1,1,Risk
5,4.55,38,35.34,46,64.4,46,43.7,43,45.15,1,0.8,Risk
40,69.2,73,80.3,4,4,12,21.36,6,5.46,26,25.74,Risk
10,19,38,36.86,92,100.28,51,96.9,87,126.15,59,61.95,Risk
39,35.1,19,19,28,28.56,6,11.22,51,89.76,73,131.4,Risk
94,102.46,30,30,9,13.14,60,28.8,38,39.9,25,2.75,Risk
63,42.84,74,76.22,77,40.81,38,36.86,2,2.06,86,100.62,Risk
73,82.49,67,35.51,4,3.76,55,53.35,61,61,82,2.46,Abnormal
51,49.47,18,4.5,95,99.75,86,83.42,12,4.08,61,56.12,Risk
85,45.05,87,87,3,2.76,76,79.04,78,136.5,26,38.22,Risk
57,22.23,76,40.28,16,16.32,19,19,52,56.16,95,76,Abnormal
13,11.96,78,78,36,34.2,26,23.4,22,32.56,9,8.73,Risk
35,36.05,79,75.05,68,129.2,44,42.68,44,43.12,20,23,Risk
33,28.71,73,73,44,33,40,37.6,54,52.92,73,121.18,Risk
57,59.85,14,13.58,57,67.26,74,75.48,28,27.44,12,10.92,Risk
84,86.52,5,4.85,65,66.95,56,52.08,67,43.55,9,8.82,Risk
79,134.3,25,25.5,63,112.14,28,29.4,35,34.3,93,86.49,Risk
82,80.36,84,91.56,51,52.53,76,64.6,83,0.83,44,45.76,Risk
88,11.44,37,14.8,11,10.78,40,40.4,26,9.1,12,11.88,Risk
88,122.32,54,11.34,41,29.93,1,0.95,13,14.17,4,6.12,Risk
25,25,70,59.5,43,41.71,35,35,50,50,86,89.44,Normal
55,59.4,52,50.96,44,42.24,35,32.2,1,1.03,38,38.38,Abnormal
16,15.84,73,137.24,60,58.8,13,7.02,64,63.36,67,63.65,Risk
84,79.8,30,13.5,21,21.21,38,36.86,19,19.38,12,12.24,Normal
83,89.64,26,26,80,77.6,7,7.42,46,34.5,28,27.16,Risk
36,20.16,57,51.87,96,18.24,14,2.8,50,77,76,135.28,Risk
65,107.25,13,12.22,48,47.52,54,53.46,35,42.35,24,46.32,Risk
49,52.92,79,79,93,96.72,5,5.15,8,10.32,30,32.7,Risk
72,69.12,28,53.2,39,40.56,63,68.04,62,56.42,89,88.11,Abnormal
45,7.2,91,42.77,22,26.84,4,3.92,51,94.86,22,20.9,Risk
54,54,9,10.26,94,43.24,62,30.38,11,12.21,60,44.4,Risk
45,49.05,14,13.86,16,15.68,85,85,6,5.4,28,28.28,Abnormal
12,9.84,67,45.56,16,21.92,66,71.94,64,57.6,20,20.4,Risk
75,76.5,80,73.6,12,12.12,49,49.98,91,99.19,95,95,Abnormal
90,90.9,30,18.3,12,11.76,55,1.65,82,79.54,82,108.24,Risk
